language,1,2,3
Afrikaans,55,108,157
Amharic,53,100,146
Arabic,55,106,152
Armenian,56,106,154
Assamese,52,101,149
Asturian,71,139,199
Azerbaijani,54,107,155
Belarusian,54,103,149
Bengali,53,103,152
Bosnian,55,104,151
Bulgarian,54,106,156
Burmese,52,99,142
Catalan,55,108,158
Cebuano,70,136,194
Chinese (Simplified),51,99,145
Chinese (Traditional),48,91,128
Croatian,55,106,155
Czech,55,107,155
Danish,55,108,157
Dutch,54,105,152
English,25,45,64
Estonian,55,106,154
Filipino (Tagalog),55,108,157
Finnish,54,103,151
French,54,106,157
Fula,55,100,145
Galician,55,109,159
Ganda,63,121,170
Georgian,47,84,116
German,54,106,155
Greek,55,108,157
Gujarati,56,109,157
Hausa,37,68,95
Hebrew,55,107,154
Hindi,55,108,156
Hungarian,55,105,151
Icelandic,52,100,145
Igbo,65,126,184
Indonesian,55,109,160
Irish,55,107,153
Italian,55,107,155
Japanese,49,93,134
Javanese,53,102,147
Kannada,55,108,156
Kazakh,52,100,146
Khmer,54,102,147
Korean,51,97,141
Kyrgyz,51,97,138
Lao,52,101,149
Latvian,53,103,149
Lingala,66,125,177
Lithuanian,54,103,150
Luo,62,111,157
Luxembourgish,71,139,198
Macedonian,53,104,152
Malay,55,108,155
Malayalam,53,103,150
Maltese,71,138,199
Maori,67,128,185
Marathi,53,101,146
Mongolian,49,95,139
Nepali,57,109,158
Northern Sotho,65,126,183
Norwegian,53,103,151
Nyanja,65,125,184
Occitan,72,134,191
Oriya (Odia),69,130,189
Oromo,28,51,74
Pashto,54,105,152
Persian,54,105,155
Polish,54,105,151
Portuguese,55,108,157
Punjabi,55,108,155
Romanian,54,107,157
Russian,54,105,152
Serbian,54,106,158
Shona,65,127,184
Sindhi,53,102,148
Slovak,55,108,157
Slovenian,54,102,147
Somali,39,74,108
Sorani Kurdish,70,132,187
Spanish,55,108,156
Swahili,53,104,153
Swedish,55,108,158
Tajik,68,131,188
Tamil,55,105,151
Telugu,52,101,148
Thai,51,100,147
Turkish,54,105,154
Ukrainian,55,108,158
Urdu,54,106,153
Vietnamese,55,105,151
Welsh,54,107,157
Wolof,55,104,148
Xhosa,33,60,87
Yoruba,63,120,170
Zulu,69,133,192
