language,total_prompts,language_resource_tier,k_values_present,unique_roots,unique_categories,avg_combined_score,failure_rate,severe_failure_rate
Asturian,409,low,3,199,19,0.8851986655163918,0.26405867970660146,0.03667481662591687
Maltese,408,low,3,199,19,0.8940357853676758,0.2647058823529412,0.0196078431372549
Luxembourgish,408,low,3,198,19,0.8970165590153021,0.25735294117647056,0.02696078431372549
Cebuano,400,low,3,194,19,0.8901208437234164,0.265,0.04
Occitan,397,low,3,191,19,0.8926795728560959,0.2695214105793451,0.037783375314861464
Zulu,394,low,3,192,19,0.8910025737914943,0.27918781725888325,0.027918781725888325
Sorani Kurdish,389,low,3,187,19,0.8940618303257273,0.2750642673521851,0.007712082262210797
Oriya (Odia),388,low,3,189,19,0.8935913996598155,0.27835051546391754,0.015463917525773196
Tajik,387,low,3,188,19,0.8904092792392702,0.27906976744186046,0.0103359173126615
Maori,380,low,3,185,19,0.8868078062408848,0.28421052631578947,0.02631578947368421
Shona,376,low,3,184,19,0.8886096334837853,0.29521276595744683,0.018617021276595744
Igbo,375,low,3,184,19,0.8851287241776784,0.296,0.02666666666666667
Nyanja,374,low,3,184,19,0.8846302960008223,0.2967914438502674,0.01871657754010695
Northern Sotho,374,low,3,183,19,0.8907858083911121,0.2967914438502674,0.00267379679144385
Lingala,368,low,3,177,19,0.8823426062970058,0.3016304347826087,0.019021739130434784
Ganda,354,low,3,170,19,0.8785555701134569,0.3135593220338983,0.03672316384180791
Yoruba,353,low,3,170,19,0.8809652799587412,0.31444759206798867,0.019830028328611898
Luo,330,low,3,157,19,0.8664913470094854,0.33636363636363636,0.03939393939393939
Indonesian,324,medium,3,160,19,0.8803900660096128,0.29012345679012347,0.033950617283950615
Nepali,324,low,3,158,19,0.8899459559815349,0.33641975308641975,0.015432098765432098
Galician,323,low,3,159,19,0.8825359387848031,0.3219814241486068,0.034055727554179564
Gujarati,322,low,3,157,19,0.8873929727058973,0.3136645962732919,0.046583850931677016
Swedish,321,medium,3,158,19,0.8863142186607528,0.3333333333333333,0.028037383177570093
Ukrainian,321,medium,3,158,19,0.880821773126675,0.32710280373831774,0.03115264797507788
