category,1,2,3
Controlled/Regulated Substances,312,620,928
Copyright/Trademark/Plagiarism,289,550,763
Criminal Planning/Confessions,313,622,931
Fraud/Deception,303,595,868
Guns and Illegal Weapons,307,612,914
Harassment,309,616,922
Hate/Identity Hate,315,625,934
High Risk Gov Decision Making,243,444,593
Illegal Activity,98,98,98
Malware,277,518,721
PII/Privacy,312,622,930
Political/Misinformation/Conspiracy,306,609,905
Profanity,306,603,890
Sexual,308,616,924
Sexual (minor),253,468,647
Suicide and Self Harm,305,604,896
Threat,268,477,619
Unauthorized Advice,271,506,684
Violence,308,614,918
