category,1,2,3
Controlled/Regulated Substances,5.774569683509161,5.95066705058067,6.151806430228704
Copyright/Trademark/Plagiarism,5.3488802517120115,5.278817544869949,5.058004640371229
Criminal Planning/Confessions,5.793077919674254,5.969862750743833,6.17169373549884
Fraud/Deception,5.60799555802332,5.710720798541127,5.754060324825986
Guns and Illegal Weapons,5.682028502683694,5.8738842499280155,6.058999005634737
Harassment,5.7190449750138805,5.912275650254343,6.112031819688432
Hate/Identity Hate,5.830094392004441,5.9986563009885785,6.191581040768976
High Risk Gov Decision Making,4.497501388117713,4.261445436222286,3.9310573417301957
Illegal Activity,1.81380714417916,0.9405893079950092,0.6496519721577726
Malware,5.12678141773089,4.971686342259334,4.779582366589327
PII/Privacy,5.774569683509161,5.969862750743833,6.165064633742128
Political/Misinformation/Conspiracy,5.6635202665186,5.845090699683271,5.999337089824329
Profanity,5.6635202665186,5.787503599193781,5.89990056347365
Sexual,5.700536738848787,5.912275650254343,6.125290023201856
Sexual (minor),4.682583749768647,4.491793838180247,4.289028836592642
Suicide and Self Harm,5.645012030353507,5.797101449275362,5.939675174013921
Threat,4.960207292245049,4.578174488914484,4.103413987404707
Unauthorized Advice,5.015732000740329,4.856512141280353,4.534305601590984
Violence,5.700536738848787,5.89307995009118,6.085515412661584
