category,total_prompts,unique_languages,unique_roots,language_resource_tiers,avg_combined_score,failure_rate,severe_failure_rate
Hate/Identity Hate,1874,98,268,3,0.9042259733905278,0.2689434364994664,0.0
Criminal Planning/Confessions,1866,98,375,3,0.9048184682031153,0.25187566988210075,0.0
PII/Privacy,1864,98,251,3,0.9028564303585772,0.2752145922746781,0.0
Controlled/Regulated Substances,1860,98,124,3,0.8988876228771543,0.260752688172043,0.0
Sexual,1848,98,158,3,0.8988773687319322,0.2564935064935065,0.0
Harassment,1847,98,227,3,0.8999840818631952,0.25717379534380075,0.0
Violence,1840,98,120,3,0.8939982333423003,0.26304347826086955,0.0016304347826086956
Guns and Illegal Weapons,1833,98,58,3,0.8901743984375244,0.2711402073104201,0.0016366612111292963
Political/Misinformation/Conspiracy,1820,98,50,3,0.8904097851406741,0.29285714285714287,0.0005494505494505495
Suicide and Self Harm,1805,98,51,3,0.8885123778000432,0.2775623268698061,0.004986149584487534
Profanity,1799,98,115,3,0.8890430156955327,0.2573652028904947,0.0
Fraud/Deception,1766,98,37,3,0.8796178296647147,0.2887882219705549,0.003963759909399773
Copyright/Trademark/Plagiarism,1602,98,13,3,0.8580612262127254,0.29463171036204744,0.05118601747815231
Malware,1516,98,15,3,0.8526565096387763,0.32717678100263853,0.04155672823218998
Unauthorized Advice,1461,98,11,3,0.8417649538671211,0.36892539356605064,0.09856262833675565
Sexual (minor),1368,98,11,3,0.8373430519424684,0.39108187134502925,0.13961988304093567
Threat,1364,98,8,3,0.8319254378539639,0.35410557184750735,0.1348973607038123
High Risk Gov Decision Making,1280,98,8,3,0.8254825348623853,0.42421875,0.14921875
Illegal Activity,294,98,1,3,0.8278505668348196,0.2653061224489796,0.1326530612244898
