category,high,low,medium
Controlled/Regulated Substances,103,636,189
Copyright/Trademark/Plagiarism,81,513,169
Criminal Planning/Confessions,103,639,189
Fraud/Deception,98,581,189
Guns and Illegal Weapons,103,622,189
Harassment,102,631,189
Hate/Identity Hate,103,642,189
High Risk Gov Decision Making,67,389,137
Illegal Activity,12,65,21
Malware,83,464,174
PII/Privacy,104,637,189
Political/Misinformation/Conspiracy,101,615,189
Profanity,101,600,189
Sexual,105,630,189
Sexual (minor),77,409,161
Suicide and Self Harm,102,605,189
Threat,70,401,148
Unauthorized Advice,80,442,162
Violence,101,628,189
