k_subset,language,category,count,language_resource_tier
1,Afrikaans,Controlled/Regulated Substances,3,low
1,Afrikaans,Copyright/Trademark/Plagiarism,3,low
1,Afrikaans,Criminal Planning/Confessions,3,low
1,Afrikaans,Fraud/Deception,3,low
1,Afrikaans,Guns and Illegal Weapons,3,low
1,Afrikaans,Harassment,3,low
1,Afrikaans,Hate/Identity Hate,3,low
1,Afrikaans,High Risk Gov Decision Making,3,low
1,Afrikaans,Illegal Activity,1,low
1,Afrikaans,Malware,3,low
1,Afrikaans,PII/Privacy,3,low
1,Afrikaans,Political/Misinformation/Conspiracy,3,low
1,Afrikaans,Profanity,3,low
1,Afrikaans,Sexual,3,low
1,Afrikaans,Sexual (minor),3,low
1,Afrikaans,Suicide and Self Harm,3,low
1,Afrikaans,Threat,3,low
1,Afrikaans,Unauthorized Advice,3,low
1,Afrikaans,Violence,3,low
1,Amharic,Controlled/Regulated Substances,3,low
1,Amharic,Copyright/Trademark/Plagiarism,3,low
1,Amharic,Criminal Planning/Confessions,3,low
1,Amharic,Fraud/Deception,3,low
1,Amharic,Guns and Illegal Weapons,3,low
1,Amharic,Harassment,3,low
1,Amharic,Hate/Identity Hate,3,low
1,Amharic,High Risk Gov Decision Making,2,low
1,Amharic,Illegal Activity,1,low
1,Amharic,Malware,3,low
1,Amharic,PII/Privacy,3,low
1,Amharic,Political/Misinformation/Conspiracy,3,low
1,Amharic,Profanity,3,low
1,Amharic,Sexual,3,low
1,Amharic,Sexual (minor),3,low
1,Amharic,Suicide and Self Harm,3,low
1,Amharic,Threat,3,low
1,Amharic,Unauthorized Advice,2,low
1,Amharic,Violence,3,low
1,Arabic,Controlled/Regulated Substances,3,high
1,Arabic,Copyright/Trademark/Plagiarism,3,high
1,Arabic,Criminal Planning/Confessions,3,high
1,Arabic,Fraud/Deception,3,high
1,Arabic,Guns and Illegal Weapons,3,high
1,Arabic,Harassment,3,high
1,Arabic,Hate/Identity Hate,3,high
1,Arabic,High Risk Gov Decision Making,3,high
1,Arabic,Illegal Activity,1,high
1,Arabic,Malware,3,high
1,Arabic,PII/Privacy,3,high
1,Arabic,Political/Misinformation/Conspiracy,3,high
1,Arabic,Profanity,3,high
1,Arabic,Sexual,3,high
1,Arabic,Sexual (minor),3,high
1,Arabic,Suicide and Self Harm,3,high
1,Arabic,Threat,3,high
1,Arabic,Unauthorized Advice,3,high
1,Arabic,Violence,3,high
1,Armenian,Controlled/Regulated Substances,4,low
1,Armenian,Copyright/Trademark/Plagiarism,3,low
1,Armenian,Criminal Planning/Confessions,4,low
1,Armenian,Fraud/Deception,3,low
1,Armenian,Guns and Illegal Weapons,3,low
1,Armenian,Harassment,3,low
1,Armenian,Hate/Identity Hate,4,low
1,Armenian,High Risk Gov Decision Making,3,low
1,Armenian,Illegal Activity,1,low
1,Armenian,Malware,2,low
1,Armenian,PII/Privacy,3,low
1,Armenian,Political/Misinformation/Conspiracy,3,low
1,Armenian,Profanity,3,low
1,Armenian,Sexual,3,low
1,Armenian,Sexual (minor),3,low
1,Armenian,Suicide and Self Harm,3,low
1,Armenian,Threat,3,low
1,Armenian,Unauthorized Advice,2,low
1,Armenian,Violence,3,low
1,Assamese,Controlled/Regulated Substances,3,low
1,Assamese,Copyright/Trademark/Plagiarism,3,low
1,Assamese,Criminal Planning/Confessions,3,low
1,Assamese,Fraud/Deception,3,low
1,Assamese,Guns and Illegal Weapons,3,low
1,Assamese,Harassment,3,low
1,Assamese,Hate/Identity Hate,3,low
1,Assamese,High Risk Gov Decision Making,2,low
1,Assamese,Illegal Activity,1,low
1,Assamese,Malware,3,low
1,Assamese,PII/Privacy,3,low
1,Assamese,Political/Misinformation/Conspiracy,3,low
1,Assamese,Profanity,3,low
1,Assamese,Sexual,3,low
1,Assamese,Sexual (minor),2,low
1,Assamese,Suicide and Self Harm,3,low
1,Assamese,Threat,2,low
1,Assamese,Unauthorized Advice,3,low
1,Assamese,Violence,3,low
1,Asturian,Controlled/Regulated Substances,4,low
1,Asturian,Copyright/Trademark/Plagiarism,4,low
1,Asturian,Criminal Planning/Confessions,4,low
1,Asturian,Fraud/Deception,4,low
1,Asturian,Guns and Illegal Weapons,4,low
1,Asturian,Harassment,4,low
1,Asturian,Hate/Identity Hate,4,low
1,Asturian,High Risk Gov Decision Making,3,low
1,Asturian,Illegal Activity,1,low
1,Asturian,Malware,4,low
1,Asturian,PII/Privacy,4,low
1,Asturian,Political/Misinformation/Conspiracy,4,low
1,Asturian,Profanity,4,low
1,Asturian,Sexual,4,low
1,Asturian,Sexual (minor),3,low
1,Asturian,Suicide and Self Harm,4,low
1,Asturian,Threat,4,low
1,Asturian,Unauthorized Advice,4,low
1,Asturian,Violence,4,low
1,Azerbaijani,Controlled/Regulated Substances,3,low
1,Azerbaijani,Copyright/Trademark/Plagiarism,3,low
1,Azerbaijani,Criminal Planning/Confessions,3,low
1,Azerbaijani,Fraud/Deception,3,low
1,Azerbaijani,Guns and Illegal Weapons,3,low
1,Azerbaijani,Harassment,3,low
1,Azerbaijani,Hate/Identity Hate,3,low
1,Azerbaijani,High Risk Gov Decision Making,2,low
1,Azerbaijani,Illegal Activity,1,low
1,Azerbaijani,Malware,3,low
1,Azerbaijani,PII/Privacy,3,low
1,Azerbaijani,Political/Misinformation/Conspiracy,3,low
1,Azerbaijani,Profanity,3,low
1,Azerbaijani,Sexual,3,low
1,Azerbaijani,Sexual (minor),3,low
1,Azerbaijani,Suicide and Self Harm,3,low
1,Azerbaijani,Threat,3,low
1,Azerbaijani,Unauthorized Advice,3,low
1,Azerbaijani,Violence,3,low
1,Belarusian,Controlled/Regulated Substances,3,low
