k_subset,category,prompts,mean_chars,median_chars,p95_chars,mean_words,median_words
1,High Risk Gov Decision Making,243,85.11934156378601,75.0,178.0,13.03292181069959,12.0
1,Sexual (minor),253,80.97233201581028,77.0,132.0,13.264822134387352,13.0
1,Fraud/Deception,303,76.70297029702971,63.0,211.5999999999999,12.917491749174918,10.0
1,Illegal Activity,98,76.5204081632653,77.5,96.14999999999999,12.642857142857142,13.0
1,Threat,268,74.38432835820896,67.0,168.29999999999995,12.861940298507463,12.0
1,Malware,277,70.30324909747293,57.0,170.39999999999992,11.296028880866427,9.0
1,Copyright/Trademark/Plagiarism,289,70.1833910034602,55.0,168.0,11.740484429065743,10.0
1,Unauthorized Advice,271,59.025830258302584,56.0,102.0,9.878228782287822,9.0
1,Political/Misinformation/Conspiracy,306,58.23202614379085,48.0,122.75,9.562091503267974,8.0
1,Criminal Planning/Confessions,313,55.843450479233226,50.0,111.39999999999998,9.300319488817891,8.0
1,Hate/Identity Hate,315,54.51428571428571,47.0,109.30000000000001,8.723809523809523,7.0
1,Harassment,309,54.02265372168285,44.0,127.19999999999993,9.245954692556634,7.0
1,Violence,308,53.642857142857146,44.5,132.94999999999993,9.454545454545455,8.0
1,Suicide and Self Harm,305,52.459016393442624,49.0,98.0,8.839344262295082,8.0
1,Guns and Illegal Weapons,307,48.267100977198695,41.0,101.09999999999997,8.127035830618892,7.0
1,PII/Privacy,312,47.66025641025641,41.0,96.59999999999991,7.875,7.0
1,Sexual,308,47.20454545454545,43.0,88.29999999999995,8.107142857142858,7.0
1,Controlled/Regulated Substances,312,45.50320512820513,43.0,89.0,7.721153846153846,7.0
1,Profanity,306,44.49346405228758,41.0,92.5,7.6568627450980395,7.0
2,High Risk Gov Decision Making,444,84.8108108108108,75.5,176.84999999999997,13.015765765765765,12.0
2,Sexual (minor),468,82.1431623931624,83.0,130.0,13.527777777777779,13.0
2,Fraud/Deception,595,79.31260504201681,63.0,218.0,13.4,11.0
2,Malware,518,77.74324324324324,61.5,199.19999999999982,12.667953667953668,10.0
2,Threat,477,77.50314465408805,67.0,178.2,13.50943396226415,12.0
2,Illegal Activity,98,76.5204081632653,77.5,96.14999999999999,12.642857142857142,13.0
2,Copyright/Trademark/Plagiarism,550,74.22545454545454,59.0,170.0999999999999,12.541818181818181,10.0
2,Political/Misinformation/Conspiracy,609,61.725779967159276,50.0,127.0,10.137931034482758,8.0
2,Unauthorized Advice,506,59.93873517786561,57.5,103.0,9.984189723320158,9.0
2,Criminal Planning/Confessions,622,58.19614147909968,50.0,117.94999999999993,9.792604501607718,8.5
2,Hate/Identity Hate,625,57.2032,49.0,112.79999999999995,9.2576,8.0
2,Harassment,616,55.6801948051948,46.0,131.25,9.410714285714286,8.0
2,Suicide and Self Harm,604,54.7682119205298,50.0,110.85000000000002,9.149006622516556,8.0
2,Violence,614,53.62214983713355,45.0,127.70000000000005,9.382736156351791,8.0
2,PII/Privacy,622,50.92443729903537,43.0,109.89999999999986,8.390675241157556,7.0
2,Guns and Illegal Weapons,612,49.82516339869281,42.0,105.0,8.320261437908497,7.0
2,Sexual,616,48.199675324675326,42.0,95.5,8.310064935064934,7.0
2,Controlled/Regulated Substances,620,46.69032258064516,42.0,93.04999999999995,7.806451612903226,7.0
2,Profanity,603,45.8391376451078,42.0,100.89999999999998,7.907131011608624,7.0
3,High Risk Gov Decision Making,593,84.43507588532884,76.0,177.0,12.888701517706577,12.0
3,Fraud/Deception,868,84.30184331797236,65.0,219.64999999999998,14.28225806451613,11.0
3,Sexual (minor),647,82.63523956723338,83.0,130.0,13.667697063369397,13.0
3,Malware,721,82.15672676837725,64.0,221.0,13.525658807212205,10.0
3,Threat,619,78.36187399030695,68.0,179.0,13.676898222940226,12.0
3,Illegal Activity,98,76.5204081632653,77.5,96.14999999999999,12.642857142857142,13.0
3,Copyright/Trademark/Plagiarism,763,75.12712975098296,61.0,168.89999999999998,12.799475753604193,11.0
3,Political/Misinformation/Conspiracy,905,64.03977900552486,52.0,130.0,10.523756906077349,9.0
3,Unauthorized Advice,684,60.61842105263158,58.0,106.85000000000002,10.135964912280702,9.0
3,Hate/Identity Hate,934,58.90899357601713,49.0,120.34999999999991,9.544967880085654,8.0
3,Criminal Planning/Confessions,931,57.44790547798067,50.0,116.5,9.67454350161117,8.0
3,Harassment,922,57.38937093275488,46.0,131.94999999999993,9.656182212581346,8.0
3,Violence,918,55.90196078431372,46.0,132.14999999999998,9.750544662309368,8.0
3,Suicide and Self Harm,896,55.24107142857143,51.0,110.0,9.248883928571429,8.0
3,PII/Privacy,930,52.7247311827957,45.0,112.54999999999995,8.72258064516129,8.0
3,Guns and Illegal Weapons,914,50.608315098468275,43.0,105.0,8.463894967177243,7.0
3,Sexual,924,49.07575757575758,43.0,97.0,8.438311688311689,7.0
3,Controlled/Regulated Substances,928,47.608836206896555,42.0,95.0,7.923491379310345,7.0
3,Profanity,890,47.58426966292135,42.0,103.0,8.201123595505617,7.0
