k_subset,language,prompts,language_resource_tier,mean_chars,median_chars,p95_chars,mean_words,median_words
1,Northern Sotho,65,low,78.58461538461539,65.0,175.99999999999997,15.784615384615385,13.0
1,Nyanja,65,low,74.1076923076923,61.0,185.99999999999977,10.046153846153846,8.0
1,Armenian,56,low,74.10714285714286,61.0,162.0,11.25,9.0
1,Luxembourgish,71,low,72.46478873239437,68.0,152.5,12.183098591549296,12.0
1,Tajik,68,low,71.73529411764706,60.5,151.24999999999997,12.279411764705882,10.0
1,Cebuano,70,low,71.61428571428571,59.5,165.79999999999995,12.4,11.0
1,Hindi,55,medium,71.12727272727273,60.0,166.99999999999997,14.854545454545455,12.0
1,Tamil,55,low,70.98181818181818,63.0,152.59999999999997,9.127272727272727,7.0
1,Nepali,57,low,70.87719298245614,61.0,161.39999999999992,11.631578947368421,10.0
1,Zulu,69,low,70.47826086956522,63.0,138.19999999999996,7.72463768115942,7.0
1,Maori,67,low,70.38805970149254,71.0,117.49999999999997,15.417910447761194,16.0
1,Oriya (Odia),69,low,70.14492753623189,57.0,176.79999999999998,12.028985507246377,10.0
1,French,54,high,69.53703703703704,64.5,123.35,12.555555555555555,11.0
1,Maltese,71,low,69.49295774647888,61.0,151.0,11.04225352112676,10.0
1,Indonesian,55,medium,68.78181818181818,61.0,133.4999999999999,10.145454545454545,9.0
1,Malay,55,medium,68.18181818181819,52.0,161.6,10.236363636363636,8.0
1,Estonian,55,low,66.41818181818182,63.0,129.69999999999987,10.563636363636364,9.0
1,Asturian,71,low,66.30985915492958,54.0,158.0,11.535211267605634,10.0
1,Hungarian,55,low,66.21818181818182,54.0,162.39999999999998,9.50909090909091,8.0
1,Finnish,54,medium,66.0,50.5,161.35,8.648148148148149,6.0
1,Shona,65,low,65.78461538461538,60.0,126.99999999999996,8.261538461538462,7.0
1,Greek,55,medium,65.76363636363637,58.0,123.19999999999999,11.145454545454545,10.0
1,Punjabi,55,low,65.67272727272727,52.0,114.89999999999999,13.745454545454546,11.0
1,Georgian,47,low,65.65957446808511,56.0,124.69999999999999,9.23404255319149,8.0
1,Vietnamese,55,medium,65.03636363636363,56.0,131.89999999999998,15.090909090909092,13.0
1,Gujarati,56,low,64.57142857142857,54.0,135.0,11.892857142857142,10.0
1,Russian,54,high,64.38888888888889,51.0,145.89999999999992,10.296296296296296,8.0
1,Irish,55,low,64.36363636363636,54.0,115.89999999999999,11.818181818181818,10.0
1,Italian,55,high,64.30909090909091,54.0,133.29999999999995,10.6,9.0
1,Sorani Kurdish,70,low,64.25714285714285,58.0,128.24999999999994,10.271428571428572,10.0
1,Occitan,72,low,64.01388888888889,57.5,136.45000000000005,11.347222222222221,10.0
1,Spanish,55,high,63.85454545454545,54.0,118.39999999999998,11.036363636363637,10.0
1,Portuguese,55,high,63.836363636363636,52.0,130.09999999999985,11.254545454545454,10.0
1,Swahili,53,low,63.81132075471698,55.0,122.39999999999995,9.849056603773585,9.0
1,Lingala,66,low,63.78787878787879,60.0,119.25,10.803030303030303,10.0
1,Macedonian,53,low,63.77358490566038,56.0,140.5999999999999,11.264150943396226,10.0
