k_subset,classifier_name,n_total,n_prompts,n_valid,n_error,n_unknown,coverage_rate,error_rate,unknown_rate,n_gold_unsafe,n_gold_safe,tp_unsafe,fn_unsafe_valid_only,fn_unsafe_strict,fp_overrefusal,tn_safe,accuracy_evaluable,unsafe_precision,unsafe_recall_strict,unsafe_recall_evaluable,unsafe_f1_evaluable,evasion_rate_strict,evasion_rate_evaluable,safe_recall_specificity,overrefusal_rate,balanced_accuracy,mean_confidence,median_confidence,std_confidence,mean_unsafe_score,median_unsafe_score,mean_combined_score,median_combined_score,std_combined_score,mean_prompt_len,median_prompt_len,std_prompt_len,model_short
1,wildguard,5403,1199,5403,0,0,1.0,0.0,0.0,5403,0,5269,134,134,0,0,0.9751989635387748,1.0,0.9751989635387748,0.9751989635387748,0.9874437781109445,0.024801036461225244,0.024801036461225244,,,,0.983364999768647,1.0,0.06547912463296884,0.968770035809551,1.0,0.8867642385097382,0.8987603783607483,0.0665094696691175,55.52452341291875,47.0,33.157108374168494,WildGuard
1,crest,5403,1199,5403,0,0,1.0,0.0,0.0,5403,0,3976,1427,1427,0,0,0.7358874699241162,1.0,0.7358874699241162,0.7358874699241162,0.8478515833244482,0.26411253007588376,0.26411253007588376,,,,0.7862269803812697,0.80859375,0.15553820198147303,0.6844002997105196,0.75,0.8867642385097382,0.8987603783607483,0.0665094696691175,55.52452341291875,47.0,33.157108374168494,CREST
1,qwen3guard_gen,5403,1199,5403,0,0,1.0,0.0,0.0,5403,0,3551,1852,1852,0,0,0.657227466222469,1.0,0.657227466222469,0.657227466222469,0.7931650658923387,0.342772533777531,0.342772533777531,,,,,,,,,0.8867642385097382,0.8987603783607483,0.0665094696691175,55.52452341291875,47.0,33.157108374168494,Qwen3Guard
1,guardreasoner,5403,1199,5317,0,86,0.9840829168980196,0.0,0.01591708310198038,5403,0,3334,1983,2069,0,0,0.62704532631183,1.0,0.6170645937442162,0.62704532631183,0.7707779447462721,0.3829354062557838,0.37295467368817004,,,,,,,,,0.8867642385097382,0.8987603783607483,0.0665094696691175,55.52452341291875,47.0,33.157108374168494,GuardReasoner
1,aprielguard,5403,1199,5403,0,0,1.0,0.0,0.0,5403,0,2213,3190,3190,0,0,0.40958726633351844,1.0,0.40958726633351844,0.40958726633351844,0.5811449579831933,0.5904127336664816,0.5904127336664816,,,,,,,,,0.8867642385097382,0.8987603783607483,0.0665094696691175,55.52452341291875,47.0,33.157108374168494,AprielGuard
1,nemotron,5403,1199,5403,0,0,1.0,0.0,0.0,5403,0,2078,3325,3325,0,0,0.3846011475106422,1.0,0.3846011475106422,0.3846011475106422,0.5555407031145568,0.6153988524893578,0.6153988524893578,,,,,,,,,0.8867642385097382,0.8987603783607483,0.0665094696691175,55.52452341291875,47.0,33.157108374168494,Nemotron
1,llamaguard3,5403,1199,5403,0,0,1.0,0.0,0.0,5403,0,1772,3631,3631,0,0,0.3279659448454562,1.0,0.3279659448454562,0.3279659448454562,0.49393728222996514,0.6720340551545437,0.6720340551545437,,,,,,,,,0.8867642385097382,0.8987603783607483,0.0665094696691175,55.52452341291875,47.0,33.157108374168494,LlamaGuard3
1,xguard,5403,1199,5400,0,3,0.9994447529150472,0.0,0.000555247084952804,5403,0,1659,3741,3744,0,0,0.30722222222222223,1.0,0.3070516379789006,0.30722222222222223,0.4700382490437739,0.6929483620210994,0.6927777777777778,,,,,,,,,0.8867642385097382,0.8987603783607483,0.0665094696691175,55.52452341291875,47.0,33.157108374168494,X-Guard
1,llamaguard_permissive,5403,1199,5403,0,0,1.0,0.0,0.0,5403,0,624,4779,4779,0,0,0.11549139367018323,1.0,0.11549139367018323,0.11549139367018323,0.2070681931309109,0.8845086063298168,0.8845086063298168,,,,0.6579606585341119,0.6513549089431763,0.09276866309398821,0.3531931869212663,0.3486451506614685,0.8867642385097382,0.8987603783607483,0.0665094696691175,55.52452341291875,47.0,33.157108374168494,LlamaGuard-Perm
1,shieldgemma,5403,1199,5403,0,0,1.0,0.0,0.0,5403,0,448,4955,4955,0,0,0.08291689801961873,1.0,0.08291689801961873,0.08291689801961873,0.15313621603144761,0.9170831019803812,0.9170831019803812,,,,0.9397665359522488,0.9921875,0.10858503965064202,0.09924011294011736,0.00970458984375,0.8867642385097382,0.8987603783607483,0.0665094696691175,55.52452341291875,47.0,33.157108374168494,ShieldGemma
