k_subset,classifier_name,n_rows,n_prompts,n_valid,n_errors,n_unknown,n_gold_unsafe,n_gold_safe,valid_rate,error_rate,unknown_rate,max_rows_observed_for_k,row_completion_fraction,run_status
1,aprielguard,5403,1199,5403,0,0,5403,0,1.0,0.0,0.0,5403,1.0,complete_or_near_complete
1,crest,5403,1199,5403,0,0,5403,0,1.0,0.0,0.0,5403,1.0,complete_or_near_complete
1,gpt_oss_safeguard,4832,1134,29,3430,1373,4832,0,0.006001655629139073,0.7098509933774835,0.28414735099337746,5403,0.8943179714973163,mostly_complete
1,guardreasoner,5403,1199,5317,0,86,5403,0,0.9840829168980196,0.0,0.01591708310198038,5403,1.0,complete_or_near_complete
1,llamaguard3,5403,1199,5403,0,0,5403,0,1.0,0.0,0.0,5403,1.0,complete_or_near_complete
1,llamaguard_permissive,5403,1199,5403,0,0,5403,0,1.0,0.0,0.0,5403,1.0,complete_or_near_complete
1,mdjudge,5403,1199,5403,0,0,5403,0,1.0,0.0,0.0,5403,1.0,complete_or_near_complete
1,nemotron,5403,1199,5403,0,0,5403,0,1.0,0.0,0.0,5403,1.0,complete_or_near_complete
1,qwen3guard_gen,5403,1199,5403,0,0,5403,0,1.0,0.0,0.0,5403,1.0,complete_or_near_complete
1,shieldgemma,5403,1199,5403,0,0,5403,0,1.0,0.0,0.0,5403,1.0,complete_or_near_complete
1,wildguard,5403,1199,5403,0,0,5403,0,1.0,0.0,0.0,5403,1.0,complete_or_near_complete
1,xguard,5403,1199,5400,0,3,5403,0,0.9994447529150472,0.0,0.000555247084952804,5403,1.0,complete_or_near_complete
2,aprielguard,10419,1626,10419,0,0,10419,0,1.0,0.0,0.0,10419,1.0,complete_or_near_complete
2,crest,10418,1626,10418,0,0,10418,0,1.0,0.0,0.0,10419,0.9999040214991842,complete_or_near_complete
2,gpt_oss_safeguard,4128,1129,93,0,4035,4128,0,0.02252906976744186,0.0,0.9774709302325582,10419,0.39619925136769363,partial
2,guardreasoner,10419,1626,10244,0,175,10419,0,0.983203762357232,0.0,0.01679623764276802,10419,1.0,complete_or_near_complete
2,llamaguard3,10419,1626,10419,0,0,10419,0,1.0,0.0,0.0,10419,1.0,complete_or_near_complete
2,llamaguard_permissive,10419,1626,10419,0,0,10419,0,1.0,0.0,0.0,10419,1.0,complete_or_near_complete
2,mdjudge,10419,1626,10419,0,0,10419,0,1.0,0.0,0.0,10419,1.0,complete_or_near_complete
2,nemotron,10419,1626,10419,0,0,10419,0,1.0,0.0,0.0,10419,1.0,complete_or_near_complete
2,qwen3guard_gen,10419,1626,10419,0,0,10419,0,1.0,0.0,0.0,10419,1.0,complete_or_near_complete
2,shieldgemma,10419,1626,414,10005,0,10419,0,0.039735099337748346,0.9602649006622517,0.0,10419,1.0,complete_or_near_complete
2,wildguard,10419,1626,10419,0,0,10419,0,1.0,0.0,0.0,10419,1.0,complete_or_near_complete
2,xguard,2110,812,590,0,1520,2110,0,0.2796208530805687,0.0,0.7203791469194313,10419,0.2025146367213744,partial
3,llamaguard3,15085,1901,39,15046,0,15085,0,0.0025853496851176664,0.9974146503148823,0.0,15085,1.0,complete_or_near_complete
3,llamaguard_permissive,15085,1901,15085,0,0,15085,0,1.0,0.0,0.0,15085,1.0,complete_or_near_complete
3,nemotron,15085,1901,15085,0,0,15085,0,1.0,0.0,0.0,15085,1.0,complete_or_near_complete
3,qwen3guard_gen,15085,1901,15085,0,0,15085,0,1.0,0.0,0.0,15085,1.0,complete_or_near_complete
3,wildguard,15021,1897,15021,0,0,15021,0,1.0,0.0,0.0,15085,0.9957573748757044,complete_or_near_complete
