k_subset,language_resource_tier,classifier_name,n_total,n_prompts,n_valid,n_error,n_unknown,coverage_rate,error_rate,unknown_rate,n_gold_unsafe,n_gold_safe,tp_unsafe,fn_unsafe_valid_only,fn_unsafe_strict,fp_overrefusal,tn_safe,accuracy_evaluable,unsafe_precision,unsafe_recall_strict,unsafe_recall_evaluable,unsafe_f1_evaluable,evasion_rate_strict,evasion_rate_evaluable,safe_recall_specificity,overrefusal_rate,balanced_accuracy,mean_confidence,median_confidence,std_confidence,mean_unsafe_score,median_unsafe_score,mean_combined_score,median_combined_score,std_combined_score,mean_prompt_len,median_prompt_len,std_prompt_len
1,high,aprielguard,606,342,606,0,0,1.0,0.0,0.0,606,0,371,235,235,0,0,0.6122112211221122,1.0,0.6122112211221122,0.6122112211221122,0.759467758444217,0.38778877887788776,0.38778877887788776,,,,,,,,,0.8786451367065065,0.8939611166715622,0.06622235720594973,54.06600660066007,46.0,32.45363787210674
1,high,crest,606,342,606,0,0,1.0,0.0,0.0,606,0,454,152,152,0,0,0.7491749174917491,1.0,0.7491749174917491,0.7491749174917491,0.8566037735849056,0.2508250825082508,0.2508250825082508,,,,0.8251920895214522,0.875,0.14930823467244253,0.7123560134333746,0.833984375,0.8786451367065065,0.8939611166715622,0.06622235720594973,54.06600660066007,46.0,32.45363787210674
1,high,gpt_oss_safeguard,534,310,14,371,149,0.026217228464419477,0.6947565543071161,0.27902621722846443,534,0,12,2,522,0,0,0.8571428571428571,1.0,0.02247191011235955,0.8571428571428571,0.923076923076923,0.9775280898876404,0.14285714285714285,,,,,,,,,0.8782910483048649,0.8932404667139053,0.06695456763053566,53.89887640449438,46.0,31.516711053951067
1,high,guardreasoner,606,342,591,0,15,0.9752475247524752,0.0,0.024752475247524754,606,0,482,109,124,0,0,0.8155668358714044,1.0,0.7953795379537953,0.8155668358714044,0.8984156570363466,0.20462046204620463,0.1844331641285956,,,,,,,,,0.8786451367065065,0.8939611166715622,0.06622235720594973,54.06600660066007,46.0,32.45363787210674
1,high,llamaguard3,606,342,606,0,0,1.0,0.0,0.0,606,0,248,358,358,0,0,0.40924092409240925,1.0,0.40924092409240925,0.40924092409240925,0.5807962529274004,0.5907590759075908,0.5907590759075908,,,,,,,,,0.8786451367065065,0.8939611166715622,0.06622235720594973,54.06600660066007,46.0,32.45363787210674
1,high,llamaguard_permissive,606,342,606,0,0,1.0,0.0,0.0,606,0,147,459,459,0,0,0.24257425742574257,1.0,0.24257425742574257,0.24257425742574257,0.3904382470119522,0.7574257425742574,0.7574257425742574,,,,0.6348654262893664,0.622459352016449,0.09094815990253899,0.39498691842353384,0.4073334336280823,0.8786451367065065,0.8939611166715622,0.06622235720594973,54.06600660066007,46.0,32.45363787210674
1,high,mdjudge,606,342,606,0,0,1.0,0.0,0.0,606,0,0,606,606,0,0,0.0,,0.0,0.0,,1.0,1.0,,,,0.9954596230692596,0.9967268705368042,0.004145387369931286,0.004540374257666441,0.0032730645034462214,0.8786451367065065,0.8939611166715622,0.06622235720594973,54.06600660066007,46.0,32.45363787210674
1,high,nemotron,606,342,606,0,0,1.0,0.0,0.0,606,0,310,296,296,0,0,0.5115511551155115,1.0,0.5115511551155115,0.5115511551155115,0.6768558951965066,0.4884488448844885,0.4884488448844885,,,,,,,,,0.8786451367065065,0.8939611166715622,0.06622235720594973,54.06600660066007,46.0,32.45363787210674
1,high,qwen3guard_gen,606,342,606,0,0,1.0,0.0,0.0,606,0,465,141,141,0,0,0.7673267326732673,1.0,0.7673267326732673,0.7673267326732673,0.8683473389355743,0.23267326732673269,0.23267326732673269,,,,,,,,,0.8786451367065065,0.8939611166715622,0.06622235720594973,54.06600660066007,46.0,32.45363787210674
1,high,shieldgemma,606,342,606,0,0,1.0,0.0,0.0,606,0,91,515,515,0,0,0.15016501650165018,1.0,0.15016501650165018,0.15016501650165018,0.26111908177905313,0.8498349834983498,0.8498349834983498,,,,0.9257876959570958,0.9921875,0.12004259161244951,0.14994130708990316,0.00860595703125,0.8786451367065065,0.8939611166715622,0.06622235720594973,54.06600660066007,46.0,32.45363787210674
1,high,wildguard,606,342,606,0,0,1.0,0.0,0.0,606,0,566,40,40,0,0,0.933993399339934,1.0,0.933993399339934,0.933993399339934,0.9658703071672354,0.066006600660066,0.066006600660066,,,,0.967132064768977,1.0,0.08880923299467292,0.9248624115493824,1.0,0.8786451367065065,0.8939611166715622,0.06622235720594973,54.06600660066007,46.0,32.45363787210674
1,high,xguard,606,342,606,0,0,1.0,0.0,0.0,606,0,303,303,303,0,0,0.5,1.0,0.5,0.5,0.6666666666666666,0.5,0.5,,,,,,,,,0.8786451367065065,0.8939611166715622,0.06622235720594973,54.06600660066007,46.0,32.45363787210674
1,low,aprielguard,3658,1040,3658,0,0,1.0,0.0,0.0,3658,0,1201,2457,2457,0,0,0.3283214871514489,1.0,0.3283214871514489,0.3283214871514489,0.49434039925910683,0.6716785128485511,0.6716785128485511,,,,,,,,,0.8874634885157373,0.8987042158842087,0.06957250204910828,55.79086932750137,47.0,33.44899682062432
