classifier_name,model_short,k_values_available,n_k_available,unsafe_recall_strict_mean_across_k,unsafe_recall_strict_median_across_k,unsafe_recall_strict_std_across_k,unsafe_recall_strict_min_across_k,unsafe_recall_strict_max_across_k,evasion_rate_strict_mean_across_k,evasion_rate_strict_median_across_k,evasion_rate_strict_std_across_k,evasion_rate_strict_min_across_k,evasion_rate_strict_max_across_k,coverage_rate_mean_across_k,coverage_rate_median_across_k,coverage_rate_std_across_k,coverage_rate_min_across_k,coverage_rate_max_across_k,error_rate_mean_across_k,error_rate_median_across_k,error_rate_std_across_k,error_rate_min_across_k,error_rate_max_across_k,unknown_rate_mean_across_k,unknown_rate_median_across_k,unknown_rate_std_across_k,unknown_rate_min_across_k,unknown_rate_max_across_k,accuracy_evaluable_mean_across_k,accuracy_evaluable_median_across_k,accuracy_evaluable_std_across_k,accuracy_evaluable_min_across_k,accuracy_evaluable_max_across_k
wildguard,WildGuard,"1,2,3",3,0.8772626803235637,0.9613208175221357,0.1577644685299148,0.6952682599097803,0.9751989635387748,0.12273731967643646,0.038679182477864324,0.1577644685299148,0.024801036461225244,0.3047317400902198,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8772626803235637,0.9613208175221357,0.1577644685299148,0.6952682599097803,0.9751989635387748
crest,CREST,"1,2",2,0.736680536651442,0.736680536651442,0.0011215657216507838,0.7358874699241162,0.7374736033787676,0.26331946334855816,0.26331946334855816,0.0011215657216507445,0.2625263966212325,0.26411253007588376,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.736680536651442,0.736680536651442,0.0011215657216507838,0.7358874699241162,0.7374736033787676
qwen3guard_gen,Qwen3Guard,"1,2,3",3,0.6611371089968635,0.6614838276226125,0.0037483295558032267,0.657227466222469,0.6647000331455087,0.33886289100313655,0.33851617237738746,0.0037483295558032267,0.3352999668544912,0.342772533777531,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6611371089968635,0.6614838276226125,0.0037483295558032267,0.657227466222469,0.6647000331455087
guardreasoner,GuardReasoner,"1,2",2,0.6198385642682114,0.6198385642682114,0.0039229867366572056,0.6170645937442162,0.6226125347922066,0.3801614357317886,0.3801614357317886,0.0039229867366572056,0.3773874652077934,0.3829354062557838,0.9836433396276258,0.9836433396276258,0.0006216561375019176,0.983203762357232,0.9840829168980196,0.0,0.0,0.0,0.0,0.0,0.016356660372374203,0.016356660372374203,0.0006216561375018857,0.01591708310198038,0.01679623764276802,0.6301470286381485,0.6301470286381485,0.0043864694963238185,0.62704532631183,0.633248730964467
aprielguard,AprielGuard,"1,2",2,0.40802810864425226,0.40802810864425226,0.002204981950038524,0.4064689509549861,0.40958726633351844,0.5919718913557478,0.5919718913557478,0.002204981950038524,0.5904127336664816,0.593531049045014,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40802810864425226,0.40802810864425226,0.002204981950038524,0.4064689509549861,0.40958726633351844
nemotron,Nemotron,"1,2,3",3,0.39117204973706093,0.3932239178424033,0.005822739397325255,0.3846011475106422,0.3956910838581372,0.6088279502629391,0.6067760821575967,0.005822739397325255,0.6043089161418628,0.6153988524893578,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39117204973706093,0.3932239178424033,0.005822739397325255,0.3846011475106422,0.3956910838581372
xguard,X-Guard,"1,2",2,0.2829097052453745,0.2829097052453745,0.034141848693651625,0.25876777251184835,0.3070516379789006,0.7170902947546256,0.7170902947546256,0.03414184869365159,0.6929483620210994,0.7412322274881517,0.639532802997808,0.639532802997808,0.5089923608331058,0.2796208530805687,0.9994447529150472,0.0,0.0,0.0,0.0,0.0,0.36046719700219204,0.36046719700219204,0.5089923608331058,0.000555247084952804,0.7203791469194313,0.6163229755178907,0.6163229755178907,0.43713447745047457,0.30722222222222223,0.9254237288135593
llamaguard3,LlamaGuard3,"1,2,3",3,0.2194749386421383,0.3279659448454562,0.18915367272083214,0.0010606562810739145,0.32939821479988485,0.7805250613578617,0.6720340551545437,0.18915367272083214,0.6706017852001152,0.9989393437189261,0.6675284498950392,1.0,0.5758576168529738,0.0025853496851176664,1.0,0.33247155010496077,0.0,0.5758576168529738,0.0,0.9974146503148823,0.0,0.0,0.0,0.0,0.0,0.3558735233005838,0.32939821479988485,0.04710240593157892,0.3279659448454562,0.41025641025641024
llamaguard_permissive,LlamaGuard-Perm,"1,2,3",3,0.11871394528879715,0.11920529801324503,0.0030071343363697154,0.11549139367018323,0.1214451441829632,0.8812860547112028,0.8807947019867549,0.003007134336369738,0.8785548558170367,0.8845086063298168,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11871394528879715,0.11920529801324503,0.0030071343363697154,0.11549139367018323,0.1214451441829632
shieldgemma,ShieldGemma,"1,2",2,0.04289812652204662,0.04289812652204662,0.05659508940137632,0.0028793550244745176,0.08291689801961873,0.9571018734779533,0.9571018734779533,0.05659508940137632,0.9170831019803812,0.9971206449755254,0.5198675496688742,0.5198675496688742,0.6790098229937046,0.039735099337748346,1.0,0.48013245033112584,0.48013245033112584,0.6790098229937046,0.0,0.9602649006622517,0.0,0.0,0.0,0.0,0.0,0.07769033306778038,0.07769033306778038,0.007391479039513673,0.07246376811594203,0.08291689801961873
gpt_oss_safeguard,GPT-OSS,"1,2",2,0.011446622003182916,0.011446622003182916,0.009163728532048826,0.004966887417218543,0.017926356589147287,0.9885533779968171,0.9885533779968171,0.00916372853204887,0.9820736434108527,0.9950331125827815,0.014265362698290466,0.014265362698290466,0.01168664661267232,0.006001655629139073,0.02252906976744186,0.35492549668874174,0.35492549668874174,0.5019404510492256,0.0,0.7098509933774835,0.6308091406129678,0.6308091406129678,0.4902538044365533,0.28414735099337746,0.9774709302325582,0.8116425658138673,0.8116425658138673,0.022547713452741248,0.7956989247311828,0.8275862068965517
mdjudge,MD-Judge,"1,2",2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
