k_subset,language,classifier_name,model_short,category_balanced_unsafe_recall,quality_weighted_unsafe_recall,guardrail_score,n_total,n_prompts,n_valid,n_error,n_unknown,coverage_rate,error_rate,unknown_rate,n_gold_unsafe,n_gold_safe,tp_unsafe,fn_unsafe_valid_only,fn_unsafe_strict,fp_overrefusal,tn_safe,accuracy_evaluable,unsafe_precision,unsafe_recall_strict,unsafe_recall_evaluable,unsafe_f1_evaluable,evasion_rate_strict,evasion_rate_evaluable,safe_recall_specificity,overrefusal_rate,balanced_accuracy,mean_confidence,median_confidence,std_confidence,mean_unsafe_score,median_unsafe_score,mean_combined_score,median_combined_score,std_combined_score,mean_prompt_len,median_prompt_len,std_prompt_len,rank_within_language_k
1,Afrikaans,wildguard,WildGuard,0.9473684210526315,0.9452662817065212,0.9512730396539057,55,55,55,0,0,1.0,0.0,0.0,55,0,52,3,3,0,0,0.9454545454545454,1.0,0.9454545454545454,0.9454545454545454,0.9719626168224299,0.05454545454545454,0.05454545454545454,,,,0.9405539772727273,1.0,0.12534469191638736,0.9197709517045455,1.0,0.8875462542880665,0.9084481000900269,0.05767687678623969,53.872727272727275,44.0,34.88502519943168,1
1,Amharic,wildguard,WildGuard,1.0,1.0,1.0,53,53,53,0,0,1.0,0.0,0.0,53,0,53,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,0.8905783992893291,0.8999388813972473,0.04543413429610108,55.64150943396226,45.0,33.88957993907603,1
1,Arabic,wildguard,WildGuard,1.0,1.0,1.0,55,55,55,0,0,1.0,0.0,0.0,55,0,55,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,0.8833219159733166,0.9067501127719879,0.05523590994611345,52.127272727272725,45.0,30.13307186799946,1
1,Armenian,wildguard,WildGuard,1.0,1.0,1.0,56,56,56,0,0,1.0,0.0,0.0,56,0,56,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,0.9835379464285714,0.99609375,0.03188901246941257,0.9835379464285714,0.99609375,0.8963985224919659,0.8974687457084656,0.05048753902178817,63.5,52.5,37.41997521985478,1
1,Assamese,wildguard,WildGuard,1.0,1.0,1.0,52,52,52,0,0,1.0,0.0,0.0,52,0,52,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,0.8893392292352823,0.9017608910799026,0.04870157796869292,51.01923076923077,42.0,31.505673553557752,1
1,Asturian,wildguard,WildGuard,0.9473684210526315,0.9412603470826124,0.9497969020173792,71,71,71,0,0,1.0,0.0,0.0,71,0,67,4,4,0,0,0.9436619718309859,1.0,0.9436619718309859,0.9436619718309859,0.9710144927536231,0.056338028169014086,0.056338028169014086,,,,0.9522447183098591,1.0,0.0917789381770708,0.9256987235915493,1.0,0.8998454658078475,0.8997707366943359,0.08388535716067759,61.32394366197183,53.0,37.02268595947522,1
1,Azerbaijani,wildguard,WildGuard,1.0,1.0,1.0,54,54,54,0,0,1.0,0.0,0.0,54,0,54,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,0.9971064814814815,1.0,0.010628456566144688,0.9971064814814815,1.0,0.8926135886598516,0.8960726410150528,0.04745133513717733,55.425925925925924,48.5,32.01273440712031,1
1,Belarusian,wildguard,WildGuard,1.0,1.0,1.0,54,54,54,0,0,1.0,0.0,0.0,54,0,54,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,0.8828840918011136,0.9036962687969208,0.056548437380845924,55.25925925925926,45.5,37.206301548429245,1
1,Bengali,wildguard,WildGuard,1.0,1.0,1.0,53,53,53,0,0,1.0,0.0,0.0,53,0,53,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,0.8927218199900862,0.8956181108951569,0.04352409274465168,47.905660377358494,44.0,18.97900069402962,1
1,Bosnian,wildguard,WildGuard,0.9649122807017543,0.9612403178689174,0.9672883061090608,55,55,55,0,0,1.0,0.0,0.0,55,0,53,2,2,0,0,0.9636363636363636,1.0,0.9636363636363636,0.9636363636363636,0.9814814814814815,0.03636363636363636,0.03636363636363636,,,,0.9645596590909091,1.0,0.09095917936996929,0.9424050071022727,1.0,0.887385140765797,0.8991428315639496,0.06276448631794947,58.89090909090909,47.0,33.820152181838175,1
1,Bulgarian,wildguard,WildGuard,1.0,1.0,1.0,54,54,54,0,0,1.0,0.0,0.0,54,0,54,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,0.9924045138888888,1.0,0.04334178677854251,0.9924045138888888,1.0,0.8888416317877946,0.8987933546304703,0.06142981898759619,59.72222222222222,50.5,33.68131258739871,1
1,Burmese,wildguard,WildGuard,1.0,1.0,1.0,52,52,52,0,0,1.0,0.0,0.0,52,0,52,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,0.9998497596153846,1.0,0.0010833988207524005,0.9998497596153846,1.0,0.8878764292368522,0.8917354792356491,0.044735366637496825,53.71153846153846,46.0,28.083444665022732,1
1,Catalan,wildguard,WildGuard,0.8947368421052632,0.8914173356810545,0.9026345565346128,55,55,55,0,0,1.0,0.0,0.0,55,0,49,6,6,0,0,0.8909090909090909,1.0,0.8909090909090909,0.8909090909090909,0.9423076923076923,0.10909090909090909,0.10909090909090909,,,,0.9410511363636364,1.0,0.11531409751911396,0.8785589044744319,1.0,0.8949581146240234,0.9115052223205566,0.04791229486347895,51.63636363636363,42.0,29.99713791061212,1
1,Cebuano,crest,CREST,0.881578947368421,0.8660487003157532,0.8857778023624024,70,70,70,0,0,1.0,0.0,0.0,70,0,61,9,9,0,0,0.8714285714285714,1.0,0.8714285714285714,0.8714285714285714,0.9312977099236641,0.12857142857142856,0.12857142857142856,,,,0.7816964285714286,0.7734375,0.13525360588905275,0.7358049665178571,0.767578125,0.8983577915600368,0.8995387256145477,0.08355024438763843,52.385714285714286,42.5,39.72780315704985,1
1,Chinese (Simplified),wildguard,WildGuard,1.0,1.0,1.0,51,51,51,0,0,1.0,0.0,0.0,51,0,51,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,0.8775518723562652,0.9063960909843445,0.056109041244447815,55.372549019607845,44.0,36.59451367859052,1
1,Chinese (Traditional),wildguard,WildGuard,1.0,1.0,1.0,48,48,48,0,0,1.0,0.0,0.0,48,0,48,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,0.8581470182786385,0.8734253197908401,0.10667265956375571,42.583333333333336,42.0,16.74824008961213,1
1,Croatian,wildguard,WildGuard,0.9298245614035087,0.9288359076887622,0.9352121394132143,55,55,55,0,0,1.0,0.0,0.0,55,0,51,4,4,0,0,0.9272727272727272,1.0,0.9272727272727272,0.9272727272727272,0.9622641509433962,0.07272727272727272,0.07272727272727272,,,,0.934872159090909,1.0,0.1311598362417631,0.8927334872159091,1.0,0.8894150392575697,0.9028233885765076,0.05794370336324726,53.41818181818182,44.0,38.18022122682493,1
1,Czech,qwen3guard_gen,Qwen3Guard,0.8596491228070174,0.862633367253184,0.8709204340139947,55,55,55,0,0,1.0,0.0,0.0,55,0,47,8,8,0,0,0.8545454545454545,1.0,0.8545454545454545,0.8545454545454545,0.9215686274509803,0.14545454545454545,0.14545454545454545,,,,,,,,,0.8859637704762545,0.9065773189067841,0.07161831792402637,55.63636363636363,47.0,35.09319003071659,1
1,Danish,wildguard,WildGuard,1.0,1.0,1.0,55,55,55,0,0,1.0,0.0,0.0,55,0,55,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,0.9975852272727272,1.0,0.013246544325949124,0.9975852272727272,1.0,0.8900980662215839,0.9038842618465424,0.05198841622274651,54.67272727272727,47.0,32.6553577621252,1
1,Dutch,wildguard,WildGuard,0.8421052631578947,0.8310985533832663,0.8515309079699055,54,54,54,0,0,1.0,0.0,0.0,54,0,45,9,9,0,0,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.16666666666666666,0.16666666666666666,,,,0.9306278935185185,0.99609375,0.12708075991724824,0.8217456958912037,0.99609375,0.8803553962045245,0.8934640735387802,0.07357537082301067,53.75925925925926,47.0,25.691151978978837,1
1,English,guardreasoner,GuardReasoner,0.8157894736842105,0.7850227374956537,0.815326835153074,25,25,24,0,1,0.96,0.0,0.04,25,0,20,4,5,0,0,0.8333333333333334,1.0,0.8,0.8333333333333334,0.9090909090909091,0.2,0.16666666666666666,,,,,,,,,0.761724044084549,0.7569266557693481,0.09079194394992335,30.64,27.0,15.574765915843914,1
1,Estonian,wildguard,WildGuard,1.0,1.0,1.0,55,55,55,0,0,1.0,0.0,0.0,55,0,55,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,0.9980823863636363,1.0,0.012710555025000316,0.9980823863636363,1.0,0.8966689201918515,0.9008249640464783,0.042332176294401315,64.65454545454546,59.0,41.8074148047919,1
1,Filipino (Tagalog),wildguard,WildGuard,0.8421052631578947,0.8317571724986865,0.8534149516996294,55,55,55,0,0,1.0,0.0,0.0,55,0,46,9,9,0,0,0.8363636363636363,1.0,0.8363636363636363,0.8363636363636363,0.9108910891089108,0.16363636363636364,0.16363636363636364,,,,0.9072443181818182,0.96875,0.1282738639620004,0.8023393110795455,0.96875,0.8885261811993339,0.9101255536079407,0.05498617670741745,50.345454545454544,43.0,29.375107994643518,1
1,Finnish,wildguard,WildGuard,0.982456140350877,0.9812626245958512,0.9835063794186494,54,54,54,0,0,1.0,0.0,0.0,54,0,53,1,1,0,0,0.9814814814814815,1.0,0.9814814814814815,0.9814814814814815,0.9906542056074767,0.018518518518518517,0.018518518518518517,,,,0.9848090277777778,1.0,0.06979329837691726,0.9736508969907407,1.0,0.8915365448704472,0.894969642162323,0.04495692708848185,64.12962962962963,47.0,50.36996945107022,1
1,French,wildguard,WildGuard,0.8596491228070177,0.8522199388416336,0.8682629295566782,54,54,54,0,0,1.0,0.0,0.0,54,0,46,8,8,0,0,0.8518518518518519,1.0,0.8518518518518519,0.8518518518518519,0.92,0.14814814814814814,0.14814814814814814,,,,0.9113859953703703,0.99609375,0.13492831194595914,0.8132670367205584,0.994140625,0.8905725572948102,0.9004269689321518,0.049269427676525396,56.574074074074076,48.0,31.842538210584326,1
1,Fula,wildguard,WildGuard,1.0,1.0,1.0,55,55,55,0,0,1.0,0.0,0.0,55,0,55,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,0.9938920454545455,1.0,0.029190718516895364,0.9938920454545455,1.0,0.8671725760806691,0.895254373550415,0.10999574651773075,48.72727272727273,44.0,20.028178802076493,1
