k_subset,language,n_unsafe_prompts,n_models_available,best_single_model,best_single_model_short,best_single_model_recall,oracle_or_recall_any_model,missed_by_all_rate,complementarity_gap
1,English,25,12,guardreasoner,GuardReasoner,0.8,1.0,0.0,0.19999999999999996
1,Dutch,54,12,guardreasoner,GuardReasoner,0.8333333333333334,1.0,0.0,0.16666666666666663
1,Filipino (Tagalog),55,12,wildguard,WildGuard,0.8363636363636363,1.0,0.0,0.1636363636363637
1,French,54,12,wildguard,WildGuard,0.8518518518518519,1.0,0.0,0.14814814814814814
1,Czech,55,12,qwen3guard_gen,Qwen3Guard,0.8545454545454545,1.0,0.0,0.1454545454545455
1,Cebuano,70,12,crest,CREST,0.8714285714285714,1.0,0.0,0.12857142857142856
1,Catalan,55,12,wildguard,WildGuard,0.8909090909090909,0.9818181818181818,0.01818181818181818,0.09090909090909094
1,Croatian,55,12,wildguard,WildGuard,0.9272727272727272,1.0,0.0,0.07272727272727275
1,Italian,55,12,wildguard,WildGuard,0.9272727272727272,1.0,0.0,0.07272727272727275
1,Portuguese,55,12,wildguard,WildGuard,0.9272727272727272,1.0,0.0,0.07272727272727275
1,Asturian,71,12,wildguard,WildGuard,0.9436619718309859,1.0,0.0,0.05633802816901412
1,German,54,12,wildguard,WildGuard,0.9444444444444444,1.0,0.0,0.05555555555555558
1,Occitan,72,12,wildguard,WildGuard,0.9444444444444444,1.0,0.0,0.05555555555555558
1,Afrikaans,55,12,wildguard,WildGuard,0.9454545454545454,1.0,0.0,0.054545454545454564
1,Galician,55,12,wildguard,WildGuard,0.9454545454545454,1.0,0.0,0.054545454545454564
1,Hungarian,55,12,wildguard,WildGuard,0.9454545454545454,1.0,0.0,0.054545454545454564
1,Spanish,55,12,wildguard,WildGuard,0.9454545454545454,1.0,0.0,0.054545454545454564
1,Korean,51,12,wildguard,WildGuard,0.9607843137254902,1.0,0.0,0.039215686274509776
1,Romanian,54,12,wildguard,WildGuard,0.9629629629629629,1.0,0.0,0.03703703703703709
1,Bosnian,55,12,wildguard,WildGuard,0.9636363636363636,1.0,0.0,0.036363636363636376
1,Malay,55,12,wildguard,WildGuard,0.9636363636363636,1.0,0.0,0.036363636363636376
1,Slovak,55,12,wildguard,WildGuard,0.9636363636363636,1.0,0.0,0.036363636363636376
1,Swahili,53,12,wildguard,WildGuard,0.9811320754716981,1.0,0.0,0.018867924528301883
