k_subset,classifier_name,x,y,pearson,spearman,n
1,aprielguard,f1,unsafe_detected_strict,0.04292527908265002,0.03126001653769457,5403
1,aprielguard,comet,unsafe_detected_strict,0.06581396143596813,0.0500528078743365,4081
1,aprielguard,combined_score,unsafe_detected_strict,0.03974645771890479,0.03813984185101696,5403
1,aprielguard,selection_score,unsafe_detected_strict,0.03974645771890479,0.03813984185101696,5403
1,aprielguard,prompt_len,unsafe_detected_strict,0.11257036499615584,0.08213481703735463,5403
1,aprielguard,prompt_char_len,unsafe_detected_strict,0.09748181164920725,0.07827132981729543,5403
1,crest,f1,unsafe_detected_strict,0.09750700635553271,0.08583492985211717,5403
1,crest,comet,unsafe_detected_strict,0.017888354594574392,-0.007431530485109242,4081
1,crest,combined_score,unsafe_detected_strict,0.05522202345282922,0.056064665021868076,5403
1,crest,selection_score,unsafe_detected_strict,0.05522202345282922,0.056064665021868076,5403
1,crest,prompt_len,unsafe_detected_strict,0.040083901864997745,0.0525269088090893,5403
1,crest,prompt_char_len,unsafe_detected_strict,0.04642241209668808,0.0657307033576276,5403
1,gpt_oss_safeguard,f1,unsafe_detected_strict,0.017893337178795727,0.013378084639910665,4832
1,gpt_oss_safeguard,comet,unsafe_detected_strict,0.020768211167637662,0.009165968630719014,3667
1,gpt_oss_safeguard,combined_score,unsafe_detected_strict,0.02126043778883629,0.020033581839590885,4832
1,gpt_oss_safeguard,selection_score,unsafe_detected_strict,0.02126043778883629,0.020033581839590885,4832
1,gpt_oss_safeguard,prompt_len,unsafe_detected_strict,0.010982122052651753,0.003429025728621113,4832
1,gpt_oss_safeguard,prompt_char_len,unsafe_detected_strict,0.025473113775056698,0.022540350432448616,4832
1,guardreasoner,f1,unsafe_detected_strict,0.05553281918877223,0.04649913160254505,5403
1,guardreasoner,comet,unsafe_detected_strict,0.08878533017715393,0.07109240393923971,4081
1,guardreasoner,combined_score,unsafe_detected_strict,0.06311421967574256,0.05796615821809864,5403
1,guardreasoner,selection_score,unsafe_detected_strict,0.06311421967574256,0.05796615821809864,5403
1,guardreasoner,prompt_len,unsafe_detected_strict,0.03065405653971464,-0.0006792408252893549,5403
1,guardreasoner,prompt_char_len,unsafe_detected_strict,0.0072740912179607336,-0.02972070947554925,5403
1,llamaguard3,f1,unsafe_detected_strict,0.021676355034535334,0.015569120755029397,5403
1,llamaguard3,comet,unsafe_detected_strict,0.06833535053564789,0.0658935023240928,4081
1,llamaguard3,combined_score,unsafe_detected_strict,0.037447521714292956,0.04027104749937981,5403
1,llamaguard3,selection_score,unsafe_detected_strict,0.037447521714292956,0.04027104749937981,5403
1,llamaguard3,prompt_len,unsafe_detected_strict,0.12992759545984714,0.11205291822503091,5403
1,llamaguard3,prompt_char_len,unsafe_detected_strict,0.13644618345205858,0.12298856016058704,5403
1,llamaguard_permissive,f1,unsafe_detected_strict,-0.01497564396961086,-0.015433506154491974,5403
1,llamaguard_permissive,comet,unsafe_detected_strict,0.024795284459440146,0.005882519125165179,4081
1,llamaguard_permissive,combined_score,unsafe_detected_strict,-0.017063414781700058,-0.019480683331257517,5403
1,llamaguard_permissive,selection_score,unsafe_detected_strict,-0.017063414781700058,-0.019480683331257517,5403
1,llamaguard_permissive,prompt_len,unsafe_detected_strict,0.1851382702428754,0.12614281471021926,5403
1,llamaguard_permissive,prompt_char_len,unsafe_detected_strict,0.14312628364233518,0.08058735248728556,5403
1,mdjudge,f1,unsafe_detected_strict,,,5403
1,mdjudge,comet,unsafe_detected_strict,,,4081
1,mdjudge,combined_score,unsafe_detected_strict,,,5403
1,mdjudge,selection_score,unsafe_detected_strict,,,5403
1,mdjudge,prompt_len,unsafe_detected_strict,,,5403
1,mdjudge,prompt_char_len,unsafe_detected_strict,,,5403
1,nemotron,f1,unsafe_detected_strict,0.07376357323170647,0.07267620199393117,5403
1,nemotron,comet,unsafe_detected_strict,0.0965220984827102,0.08209366870315388,4081
1,nemotron,combined_score,unsafe_detected_strict,0.08297078943305329,0.08091532247586203,5403
1,nemotron,selection_score,unsafe_detected_strict,0.08297078943305329,0.08091532247586203,5403
1,nemotron,prompt_len,unsafe_detected_strict,0.09358889383407179,0.07131315192571915,5403
1,nemotron,prompt_char_len,unsafe_detected_strict,0.08244661167142597,0.06462184158252506,5403
1,qwen3guard_gen,f1,unsafe_detected_strict,0.08438551188251803,0.07679111238738708,5403
1,qwen3guard_gen,comet,unsafe_detected_strict,0.12190602078554903,0.08655925285777226,4081
1,qwen3guard_gen,combined_score,unsafe_detected_strict,0.08805652596208048,0.07876353245782032,5403
1,qwen3guard_gen,selection_score,unsafe_detected_strict,0.08805652596208048,0.07876353245782032,5403
1,qwen3guard_gen,prompt_len,unsafe_detected_strict,0.1242783499686265,0.12151676011606898,5403
1,qwen3guard_gen,prompt_char_len,unsafe_detected_strict,0.1030266730541833,0.09904935567290674,5403
1,shieldgemma,f1,unsafe_detected_strict,0.05952097816744838,0.05859791257541715,5403
1,shieldgemma,comet,unsafe_detected_strict,0.04054649971964168,0.03170984838507966,4081
1,shieldgemma,combined_score,unsafe_detected_strict,0.05739775352003624,0.05449213722467097,5403
1,shieldgemma,selection_score,unsafe_detected_strict,0.05739775352003624,0.05449213722467097,5403
1,shieldgemma,prompt_len,unsafe_detected_strict,-0.06619857896815995,-0.08119927378169382,5403
1,shieldgemma,prompt_char_len,unsafe_detected_strict,-0.07211284737876654,-0.07767198119342045,5403
1,wildguard,f1,unsafe_detected_strict,-0.03566622310708782,-0.031390227818953224,5403
1,wildguard,comet,unsafe_detected_strict,0.0873713943833967,-0.007156867170034143,4081
1,wildguard,combined_score,unsafe_detected_strict,0.0030973238717781886,-0.010586658741887023,5403
1,wildguard,selection_score,unsafe_detected_strict,0.0030973238717781886,-0.010586658741887023,5403
1,wildguard,prompt_len,unsafe_detected_strict,0.033932068541097295,0.029217800756575773,5403
1,wildguard,prompt_char_len,unsafe_detected_strict,0.029447992734898544,0.020724220253211426,5403
1,xguard,f1,unsafe_detected_strict,0.06258682801444974,0.05577998877291478,5403
1,xguard,comet,unsafe_detected_strict,0.05969407964596648,0.02992818825733101,4081
1,xguard,combined_score,unsafe_detected_strict,0.05667643645442507,0.053257057119809006,5403
1,xguard,selection_score,unsafe_detected_strict,0.05667643645442507,0.053257057119809006,5403
1,xguard,prompt_len,unsafe_detected_strict,0.007670707030724793,-0.005547115361879583,5403
1,xguard,prompt_char_len,unsafe_detected_strict,-0.019870324626922724,-0.03868157295796849,5403
2,aprielguard,f1,unsafe_detected_strict,0.04599404703824624,0.04176402889227046,10419
2,aprielguard,comet,unsafe_detected_strict,0.07198972824758613,0.05224540816675392,7894
2,aprielguard,combined_score,unsafe_detected_strict,0.04660680420258084,0.04295472086533428,10419
