k_subset,model_1,model_2,agreement,n_overlap_prompts
1,qwen3guard_gen,qwen3guard_gen,1.0,1199
1,qwen3guard_gen,llamaguard3,0.6188490408673895,1199
1,qwen3guard_gen,llamaguard_permissive,0.4153461217681401,1199
1,qwen3guard_gen,nemotron,0.7014178482068391,1199
1,qwen3guard_gen,gpt_oss_safeguard,0.782608695652174,23
1,qwen3guard_gen,shieldgemma,0.3878231859883236,1199
1,qwen3guard_gen,xguard,0.5996663886572143,1199
1,qwen3guard_gen,crest,0.7539616346955796,1199
1,qwen3guard_gen,wildguard,0.6747289407839867,1199
1,qwen3guard_gen,aprielguard,0.6939115929941618,1199
1,qwen3guard_gen,guardreasoner,0.6944444444444444,1188
1,qwen3guard_gen,mdjudge,0.30692243536280234,1199
1,llamaguard3,qwen3guard_gen,0.6188490408673895,1199
1,llamaguard3,llamaguard3,1.0,1199
1,llamaguard3,llamaguard_permissive,0.6296914095079232,1199
1,llamaguard3,nemotron,0.7773144286905754,1199
1,llamaguard3,gpt_oss_safeguard,0.6521739130434783,23
1,llamaguard3,shieldgemma,0.6755629691409508,1199
1,llamaguard3,xguard,0.6822351959966639,1199
1,llamaguard3,crest,0.5229357798165137,1199
1,llamaguard3,wildguard,0.3803169307756464,1199
1,llamaguard3,aprielguard,0.7481234361968306,1199
1,llamaguard3,guardreasoner,0.5597643097643098,1188
1,llamaguard3,mdjudge,0.6213511259382819,1199
1,llamaguard_permissive,qwen3guard_gen,0.4153461217681401,1199
1,llamaguard_permissive,llamaguard3,0.6296914095079232,1199
1,llamaguard_permissive,llamaguard_permissive,1.0,1199
1,llamaguard_permissive,nemotron,0.6238532110091743,1199
1,llamaguard_permissive,gpt_oss_safeguard,0.30434782608695654,23
1,llamaguard_permissive,shieldgemma,0.8273561301084237,1199
1,llamaguard_permissive,xguard,0.6922435362802335,1199
1,llamaguard_permissive,crest,0.3094245204336947,1199
1,llamaguard_permissive,wildguard,0.1451209341117598,1199
1,llamaguard_permissive,aprielguard,0.6430358632193495,1199
1,llamaguard_permissive,guardreasoner,0.4537037037037037,1188
1,llamaguard_permissive,mdjudge,0.8632193494578816,1199
1,nemotron,qwen3guard_gen,0.7014178482068391,1199
1,nemotron,llamaguard3,0.7773144286905754,1199
1,nemotron,llamaguard_permissive,0.6238532110091743,1199
1,nemotron,nemotron,1.0,1199
1,nemotron,gpt_oss_safeguard,0.6086956521739131,23
1,nemotron,shieldgemma,0.6447039199332777,1199
