,qwen3guard_gen,llamaguard3,llamaguard_permissive,nemotron,gpt_oss_safeguard,shieldgemma,xguard,crest,wildguard,aprielguard,guardreasoner,mdjudge
qwen3guard_gen,1.0,0.6088560885608856,0.4102091020910209,0.7127921279212792,0.711864406779661,0.39100346020761245,0.5982404692082112,0.7533825338253383,0.511070110701107,0.6918819188191881,0.6817337461300309,0.2988929889298893
llamaguard3,0.6088560885608856,1.0,0.5959409594095941,0.7558425584255842,0.6271186440677966,0.6851211072664359,0.39296187683284456,0.533210332103321,0.4188191881918819,0.7201722017220172,0.5461300309597523,0.6002460024600246
llamaguard_permissive,0.4102091020910209,0.5959409594095941,1.0,0.6027060270602707,0.2542372881355932,0.8235294117647058,0.15542521994134897,0.3210332103321033,0.3025830258302583,0.6297662976629766,0.4582043343653251,0.8628536285362853
nemotron,0.7127921279212792,0.7558425584255842,0.6027060270602707,1.0,0.5423728813559322,0.5847750865051903,0.4222873900293255,0.6100861008610086,0.4231242312423124,0.7773677736777368,0.6291021671826625,0.550430504305043
gpt_oss_safeguard,0.711864406779661,0.6271186440677966,0.2542372881355932,0.5423728813559322,1.0,0.3448275862068966,0.7368421052631579,0.6779661016949152,0.6610169491525424,0.6949152542372882,0.6610169491525424,0.22033898305084745
shieldgemma,0.39100346020761245,0.6851211072664359,0.8235294117647058,0.5847750865051903,0.3448275862068966,1.0,0.1951219512195122,0.28719723183391005,0.3044982698961938,0.6193771626297578,0.3902439024390244,0.9100346020761245
xguard,0.5982404692082112,0.39296187683284456,0.15542521994134897,0.4222873900293255,0.7368421052631579,0.1951219512195122,1.0,0.7360703812316716,0.6803519061583577,0.41642228739002934,0.5806451612903226,0.07624633431085044
crest,0.7533825338253383,0.533210332103321,0.3210332103321033,0.6100861008610086,0.6779661016949152,0.28719723183391005,0.7360703812316716,1.0,0.5793357933579336,0.5707257072570726,0.621671826625387,0.21955719557195572
wildguard,0.511070110701107,0.4188191881918819,0.3025830258302583,0.4231242312423124,0.6610169491525424,0.3044982698961938,0.6803519061583577,0.5793357933579336,1.0,0.42558425584255843,0.5114551083591331,0.2736777367773678
aprielguard,0.6918819188191881,0.7201722017220172,0.6297662976629766,0.7773677736777368,0.6949152542372882,0.6193771626297578,0.41642228739002934,0.5707257072570726,0.42558425584255843,1.0,0.6260061919504644,0.5787207872078721
guardreasoner,0.6817337461300309,0.5461300309597523,0.4582043343653251,0.6291021671826625,0.6610169491525424,0.3902439024390244,0.5806451612903226,0.621671826625387,0.5114551083591331,0.6260061919504644,1.0,0.3746130030959752
mdjudge,0.2988929889298893,0.6002460024600246,0.8628536285362853,0.550430504305043,0.22033898305084745,0.9100346020761245,0.07624633431085044,0.21955719557195572,0.2736777367773678,0.5787207872078721,0.3746130030959752,1.0
