k_subset,language_resource_tier,classifier_name,n_total,n_prompts,n_valid,n_error,n_unknown,coverage_rate,error_rate,unknown_rate,n_gold_unsafe,tp_unsafe,unsafe_recall_strict,unsafe_recall_evaluable,evasion_rate_strict,accuracy_evaluable,category_balanced_unsafe_recall,quality_weighted_unsafe_recall,guardrail_score,model_short,rank_within_resource_tier
1,high,wildguard,400,400,400,0,0,1.0,0.0,0.0,400,380,0.95,0.95,0.050000000000000044,0.95,0.946232143610802,0.953551796291446,0.954601608351305,WildGuard,1
1,high,guardreasoner,400,400,389,0,11,0.9725,0.0,0.0275,400,312,0.78,0.8020565552699229,0.21999999999999997,0.8020565552699229,0.7801350626157569,0.7795773388427972,0.7975875741709274,GuardReasoner,2
1,high,qwen3guard_gen,400,400,400,0,0,1.0,0.0,0.0,400,304,0.76,0.76,0.24,0.76,0.7472732035016396,0.7622482306795488,0.7816794637682829,Qwen3Guard,3
1,low,wildguard,2431,2431,2431,0,0,1.0,0.0,0.0,2431,2394,0.9847799259563965,0.9847799259563965,0.015220074043603482,0.9847799259563965,0.9849718454325757,0.9843799440813781,0.9863003190684909,WildGuard,1
1,low,crest,2431,2431,2431,0,0,1.0,0.0,0.0,2431,1718,0.7067050596462361,0.7067050596462361,0.2932949403537639,0.7067050596462361,0.7001827948461384,0.7076697806197404,0.7348265728189434,CREST,2
1,low,qwen3guard_gen,2431,2431,2431,0,0,1.0,0.0,0.0,2431,1434,0.5898807075277663,0.5898807075277663,0.41011929247223367,0.5898807075277663,0.5807267162881186,0.5936153073409457,0.6294352985083781,Qwen3Guard,3
1,medium,wildguard,736,736,736,0,0,1.0,0.0,0.0,736,718,0.9755434782608695,0.9755434782608695,0.024456521739130488,0.9755434782608695,0.9761635082820561,0.9756046458028043,0.9781192531932135,WildGuard,1
1,medium,qwen3guard_gen,736,736,736,0,0,1.0,0.0,0.0,736,587,0.7975543478260869,0.7975543478260869,0.20244565217391308,0.7975543478260869,0.7793127318048522,0.8001059528836352,0.8144057503449861,Qwen3Guard,2
1,medium,crest,736,736,736,0,0,1.0,0.0,0.0,736,585,0.7948369565217391,0.7948369565217391,0.20516304347826086,0.7948369565217391,0.7781199139161811,0.7986838187659832,0.8123945385728779,CREST,3
2,high,guardreasoner,787,787,770,0,17,0.9783989834815756,0.0,0.021601016518424398,787,630,0.8005082592121983,0.8181818181818182,0.19949174078780174,0.8181818181818182,0.8009328512752941,0.7994751936873186,0.8170025197959058,GuardReasoner,1
2,high,qwen3guard_gen,787,787,787,0,0,1.0,0.0,0.0,787,600,0.7623888182973316,0.7623888182973316,0.23761118170266837,0.7623888182973316,0.7471046174759761,0.7640320545177144,0.7832574199253658,Qwen3Guard,2
2,high,crest,787,787,787,0,0,1.0,0.0,0.0,787,588,0.747141041931385,0.747141041931385,0.252858958068615,0.747141041931385,0.7296873557776343,0.7496295983015162,0.7691850561445095,CREST,3
2,low,wildguard,4780,4780,4780,0,0,1.0,0.0,0.0,4780,3440,0.7196652719665272,0.7196652719665272,0.2803347280334728,0.7196652719665272,0.7185782936926901,0.7187669285346919,0.7473915147719236,WildGuard,1
2,low,crest,4780,4780,4780,0,0,1.0,0.0,0.0,4780,3403,0.7119246861924686,0.7119246861924686,0.2880753138075314,0.7119246861924686,0.6998492559185739,0.7138684381416279,0.7385115067133587,CREST,2
2,low,qwen3guard_gen,4780,4780,4780,0,0,1.0,0.0,0.0,4780,2825,0.5910041841004184,0.5910041841004184,0.40899581589958156,0.5910041841004184,0.5849343214622423,0.5949753717148565,0.6310869119241852,Qwen3Guard,3
2,medium,qwen3guard_gen,1490,1490,1490,0,0,1.0,0.0,0.0,1490,1179,0.7912751677852349,0.7912751677852349,0.20872483221476512,0.7912751677852349,0.7818876340888523,0.7949078777072875,0.8106334152596402,Qwen3Guard,1
2,medium,guardreasoner,1490,1490,1463,0,27,0.9818791946308725,0.0,0.018120805369127517,1490,1180,0.7919463087248322,0.8065618591934381,0.20805369127516782,0.8065618591934381,0.7895967940485477,0.794914823156943,0.8096852428099078,GuardReasoner,2
2,medium,crest,1490,1490,1490,0,0,1.0,0.0,0.0,1490,1160,0.7785234899328859,0.7785234899328859,0.2214765100671141,0.7785234899328859,0.7666514787868225,0.7827691360156118,0.7987213033186572,CREST,3
