k_subset,language,best_single_evasion_rate,best_single_unsafe_recall,linguaguard_evasion_rate,linguaguard_unsafe_recall,absolute_evasion_reduction,relative_evasion_reduction,improvement_status
1,English,0.7142857142857143,0.2857142857142857,0.14285714285714285,0.8571428571428571,0.5714285714285714,0.7999999999999999,improved
1,Czech,0.25,0.75,0.0,1.0,0.25,1.0,improved
1,Dutch,0.22727272727272727,0.7727272727272727,0.0,1.0,0.22727272727272727,1.0,improved
1,Cebuano,0.21739130434782608,0.782608695652174,0.0,1.0,0.21739130434782608,1.0,improved
1,Portuguese,0.17647058823529413,0.8235294117647058,0.0,1.0,0.17647058823529413,1.0,improved
1,French,0.17391304347826086,0.8260869565217391,0.0,1.0,0.17391304347826086,1.0,improved
1,Italian,0.15,0.85,0.0,1.0,0.15,1.0,improved
1,Galician,0.14285714285714285,0.8571428571428571,0.0,1.0,0.14285714285714285,1.0,improved
1,Filipino (Tagalog),0.13636363636363635,0.8636363636363636,0.0,1.0,0.13636363636363635,1.0,improved
1,Catalan,0.125,0.875,0.0,1.0,0.125,1.0,improved
1,Croatian,0.125,0.875,0.0,1.0,0.125,1.0,improved
1,Occitan,0.11538461538461539,0.8846153846153846,0.0,1.0,0.11538461538461539,1.0,improved
1,Bosnian,0.10526315789473684,0.8947368421052632,0.0,1.0,0.10526315789473684,1.0,improved
1,German,0.09523809523809523,0.9047619047619048,0.0,1.0,0.09523809523809523,1.0,improved
1,Spanish,0.09523809523809523,0.9047619047619048,0.0,1.0,0.09523809523809523,1.0,improved
1,Malay,0.08695652173913043,0.9130434782608695,0.0,1.0,0.08695652173913043,1.0,improved
1,Finnish,0.07142857142857142,0.9285714285714286,0.0,1.0,0.07142857142857142,1.0,improved
1,Afrikaans,0.05555555555555555,0.9444444444444444,0.0,1.0,0.05555555555555555,1.0,improved
1,Slovak,0.05555555555555555,0.9444444444444444,0.0,1.0,0.05555555555555555,1.0,improved
1,Korean,0.05263157894736842,0.9473684210526315,0.0,1.0,0.05263157894736842,1.0,improved
1,Asturian,0.05,0.95,0.0,1.0,0.05,1.0,improved
1,Hungarian,0.05,0.95,0.0,1.0,0.05,1.0,improved
1,Romanian,0.05,0.95,0.0,1.0,0.05,1.0,improved
1,Swedish,0.043478260869565216,0.9565217391304348,0.0,1.0,0.043478260869565216,1.0,improved
1,Amharic,0.0,1.0,0.0,1.0,0.0,,same
1,Arabic,0.0,1.0,0.0,1.0,0.0,,same
1,Armenian,0.0,1.0,0.0,1.0,0.0,,same
1,Assamese,0.0,1.0,0.0,1.0,0.0,,same
1,Azerbaijani,0.0,1.0,0.0,1.0,0.0,,same
1,Belarusian,0.0,1.0,0.0,1.0,0.0,,same
1,Bengali,0.0,1.0,0.0,1.0,0.0,,same
1,Bulgarian,0.0,1.0,0.0,1.0,0.0,,same
1,Burmese,0.0,1.0,0.0,1.0,0.0,,same
1,Chinese (Simplified),0.0,1.0,0.0,1.0,0.0,,same
1,Chinese (Traditional),0.0,1.0,0.0,1.0,0.0,,same
1,Danish,0.0,1.0,0.0,1.0,0.0,,same
1,Estonian,0.0,1.0,0.0,1.0,0.0,,same
1,Fula,0.0,1.0,0.0,1.0,0.0,,same
1,Ganda,0.0,1.0,0.0,1.0,0.0,,same
1,Georgian,0.0,1.0,0.0,1.0,0.0,,same
1,Greek,0.0,1.0,0.0,1.0,0.0,,same
1,Gujarati,0.0,1.0,0.0,1.0,0.0,,same
1,Hausa,0.0,1.0,0.0,1.0,0.0,,same
1,Hebrew,0.0,1.0,0.0,1.0,0.0,,same
1,Hindi,0.0,1.0,0.0,1.0,0.0,,same
1,Icelandic,0.0,1.0,0.0,1.0,0.0,,same
1,Igbo,0.0,1.0,0.0,1.0,0.0,,same
1,Indonesian,0.0,1.0,0.0,1.0,0.0,,same
1,Irish,0.0,1.0,0.0,1.0,0.0,,same
1,Japanese,0.0,1.0,0.0,1.0,0.0,,same
1,Javanese,0.0,1.0,0.0,1.0,0.0,,same
1,Kannada,0.0,1.0,0.0,1.0,0.0,,same
1,Kazakh,0.0,1.0,0.0,1.0,0.0,,same
1,Khmer,0.0,1.0,0.0,1.0,0.0,,same
1,Kyrgyz,0.0,1.0,0.0,1.0,0.0,,same
1,Lao,0.0,1.0,0.0,1.0,0.0,,same
1,Latvian,0.0,1.0,0.0,1.0,0.0,,same
1,Lingala,0.0,1.0,0.0,1.0,0.0,,same
1,Lithuanian,0.0,1.0,0.0,1.0,0.0,,same
1,Luo,0.0,1.0,0.0,1.0,0.0,,same
1,Luxembourgish,0.0,1.0,0.0,1.0,0.0,,same
1,Macedonian,0.0,1.0,0.0,1.0,0.0,,same
1,Malayalam,0.0,1.0,0.0,1.0,0.0,,same
1,Maltese,0.0,1.0,0.0,1.0,0.0,,same
1,Maori,0.0,1.0,0.0,1.0,0.0,,same
1,Marathi,0.0,1.0,0.0,1.0,0.0,,same
1,Mongolian,0.0,1.0,0.0,1.0,0.0,,same
1,Nepali,0.0,1.0,0.0,1.0,0.0,,same
1,Northern Sotho,0.0,1.0,0.0,1.0,0.0,,same
1,Norwegian,0.0,1.0,0.0,1.0,0.0,,same
1,Nyanja,0.0,1.0,0.0,1.0,0.0,,same
1,Oriya (Odia),0.0,1.0,0.0,1.0,0.0,,same
1,Oromo,0.0,1.0,0.0,1.0,0.0,,same
1,Pashto,0.0,1.0,0.0,1.0,0.0,,same
1,Persian,0.0,1.0,0.0,1.0,0.0,,same
1,Polish,0.0,1.0,0.0,1.0,0.0,,same
1,Punjabi,0.0,1.0,0.0,1.0,0.0,,same
1,Russian,0.0,1.0,0.0,1.0,0.0,,same
1,Serbian,0.0,1.0,0.0,1.0,0.0,,same
1,Shona,0.0,1.0,0.0,1.0,0.0,,same
1,Sindhi,0.0,1.0,0.0,1.0,0.0,,same
1,Slovenian,0.0,1.0,0.0,1.0,0.0,,same
